SequenceNumber,EventAtUtc,Status,RttMs,SmoothedRttMs,JitterMs,LossFractionSoFar
1,2026-09-13T18:07:36.7668144Z,OnTime,37.363,37.363,0.000,0.0000
1,2026-09-13T18:07:36.7809221Z,Duplicate,,,,0.0000
2,2026-09-13T18:07:36.8718115Z,OnTime,31.171,36.589,0.387,0.0000
3,2026-09-13T18:07:36.9647356Z,OnTime,15.129,33.906,1.365,0.0000
4,2026-09-13T18:07:37.0726595Z,OnTime,15.639,31.623,1.312,0.0000
5,2026-09-13T18:07:37.2149373Z,OnTime,47.843,33.650,3.243,0.0000
6,2026-09-13T18:07:37.3067153Z,OnTime,31.221,33.347,4.079,0.0000
7,2026-09-13T18:07:37.4161151Z,OnTime,32.220,33.206,3.886,0.0000
9,2026-09-13T18:07:37.6203055Z,OnTime,15.755,31.024,4.673,0.0000
8,2026-09-13T18:07:37.6684621Z,Lost,,,,0.1111
10,2026-09-13T18:07:37.7309421Z,OnTime,15.989,29.145,4.395,0.1000
11,2026-09-13T18:07:37.8718651Z,OnTime,47.726,31.468,6.104,0.0909
12,2026-09-13T18:07:37.9511572Z,OnTime,16.168,29.555,7.695,0.0833
13,2026-09-13T18:07:38.0910922Z,OnTime,46.370,31.657,9.102,0.0769
14,2026-09-13T18:07:38.1841856Z,OnTime,30.582,31.523,9.520,0.0714
15,2026-09-13T18:07:38.2928661Z,OnTime,31.957,31.577,9.011,0.0667
16,2026-09-13T18:07:38.4169173Z,OnTime,46.620,33.457,9.364,0.0625
17,2026-09-13T18:07:38.5104860Z,OnTime,30.772,33.122,9.769,0.0588
19,2026-09-13T18:07:38.7277080Z,OnTime,30.773,32.828,9.159,0.0526
18,2026-09-13T18:07:38.7896247Z,Lost,,,,0.1053
20,2026-09-13T18:07:38.8203853Z,OnTime,15.864,30.708,9.518,0.1000
21,2026-09-13T18:07:38.9457137Z,OnTime,32.186,30.892,9.943,0.0952
18,2026-09-13T18:07:38.9758722Z,Late,,,,0.0952
22,2026-09-13T18:07:39.0679577Z,OnTime,46.123,32.796,10.193,0.0909
23,2026-09-13T18:07:39.1778196Z,OnTime,47.499,34.634,9.642,0.0870
